group,check,published,recomputed,status
"bench[Vasquez, Andrew]",rdi,1.023,1.023,PASS
"bench[Vasquez, Andrew]",slo_vs_lhh,0.193,0.193,PASS
"bench[Vasquez, Andrew]",slo_vs_rhh,6.223,6.223,PASS
"bench[Loewen, Adam]",pitches,393,393,PASS
"bench[Loewen, Adam]",rel_x,3.04,3.04,PASS
"bench[Loewen, Adam]",rel_z,5.941,5.941,PASS
"bench[Loewen, Adam]",rsa_proxy,62.902,62.902,PASS
"bench[Loewen, Adam]",rdi,1.05,1.05,PASS
"bench[Loewen, Adam]",slo_vs_lhh,0.168,0.168,PASS
"bench[Loewen, Adam]",slo_vs_rhh,6.248,6.248,PASS
"bench[Rodríguez, Joely]",pitches,647,647,PASS
"bench[Rodríguez, Joely]",rel_x,2.682,2.682,PASS
"bench[Rodríguez, Joely]",rel_z,5.384,5.384,PASS
"bench[Rodríguez, Joely]",rsa_proxy,63.517,63.517,PASS
"bench[Rodríguez, Joely]",rdi,1.011,1.011,PASS
"bench[Rodríguez, Joely]",slo_vs_lhh,0.526,0.526,PASS
"bench[Rodríguez, Joely]",slo_vs_rhh,5.89,5.89,PASS
"bench[Araujo, Elvis]",pitches,1159,1159,PASS
"bench[Araujo, Elvis]",rel_x,2.934,2.934,PASS
"bench[Araujo, Elvis]",rel_z,6.713,6.713,PASS
"bench[Araujo, Elvis]",rsa_proxy,66.391,66.391,PASS
"bench[Araujo, Elvis]",rdi,1.741,1.741,PASS
"bench[Araujo, Elvis]",slo_vs_lhh,0.274,0.274,PASS
"bench[Araujo, Elvis]",slo_vs_rhh,6.142,6.142,PASS
"bench[Davis, Austin]",pitches,1107,1107,PASS
"bench[Davis, Austin]",rel_x,2.64,2.64,PASS
"bench[Davis, Austin]",rel_z,6.114,6.114,PASS
"bench[Davis, Austin]",rsa_proxy,66.644,66.644,PASS
"bench[Davis, Austin]",rdi,0.646,0.646,PASS
"bench[Davis, Austin]",slo_vs_lhh,0.568,0.568,PASS
"bench[Davis, Austin]",slo_vs_rhh,5.848,5.848,PASS
"bench[Strahm, Matt]",pitches,3340,3340,PASS
"bench[Strahm, Matt]",rel_x,2.328,2.328,PASS
"bench[Strahm, Matt]",rel_z,5.41,5.41,PASS
"bench[Strahm, Matt]",rsa_proxy,66.717,66.717,PASS
"bench[Strahm, Matt]",rdi,0.811,0.811,PASS
"bench[Strahm, Matt]",slo_vs_lhh,0.88,0.88,PASS
"bench[Strahm, Matt]",slo_vs_rhh,5.536,5.536,PASS
"bench[Luzardo, Jesús]",pitches,5144,5144,PASS
"bench[Luzardo, Jesús]",rel_x,2.448,2.448,PASS
"bench[Luzardo, Jesús]",rel_z,5.764,5.764,PASS
"bench[Luzardo, Jesús]",rsa_proxy,66.989,66.989,PASS
"bench[Luzardo, Jesús]",rdi,0.277,0.277,PASS
"bench[Luzardo, Jesús]",slo_vs_lhh,0.76,0.76,PASS
"bench[Luzardo, Jesús]",slo_vs_rhh,5.656,5.656,PASS
"bench[Hamels, Cole]",pitches,2101,2101,PASS
"bench[Hamels, Cole]",rel_x,2.61,2.61,PASS
"bench[Hamels, Cole]",rel_z,6.231,6.231,PASS
"bench[Hamels, Cole]",rsa_proxy,67.273,67.273,PASS
"bench[Hamels, Cole]",rdi,0.776,0.776,PASS
"bench[Hamels, Cole]",slo_vs_lhh,0.598,0.598,PASS
"bench[Hamels, Cole]",slo_vs_rhh,5.818,5.818,PASS
"bench[Banks, Tanner]",pitches,2027,2027,PASS
"bench[Banks, Tanner]",rel_x,2.641,2.641,PASS
"bench[Banks, Tanner]",rel_z,6.385,6.385,PASS
"bench[Banks, Tanner]",rsa_proxy,67.53,67.53,PASS
"bench[Banks, Tanner]",rdi,1.033,1.033,PASS
"bench[Banks, Tanner]",slo_vs_lhh,0.567,0.567,PASS
"bench[Banks, Tanner]",slo_vs_rhh,5.849,5.849,PASS
"bench[Irvin, Cole]",pitches,721,721,PASS
"bench[Irvin, Cole]",rel_x,2.519,2.519,PASS
"bench[Irvin, Cole]",rel_z,6.337,6.337,PASS
"bench[Irvin, Cole]",rsa_proxy,68.323,68.323,PASS
"bench[Irvin, Cole]",rdi,0.884,0.884,PASS
"bench[Irvin, Cole]",slo_vs_lhh,0.689,0.689,PASS
"bench[Irvin, Cole]",slo_vs_rhh,5.727,5.727,PASS
"bench[Hand, Brad]",pitches,816,816,PASS
"bench[Hand, Brad]",rel_x,2.362,2.362,PASS
"bench[Hand, Brad]",rel_z,6.345,6.345,PASS
"bench[Hand, Brad]",rsa_proxy,69.584,69.584,PASS
"bench[Hand, Brad]",rdi,0.848,0.848,PASS
"bench[Hand, Brad]",slo_vs_lhh,0.846,0.846,PASS
"bench[Hand, Brad]",slo_vs_rhh,5.57,5.57,PASS
"bench[Suárez, Ranger]",pitches,12067,12067,PASS
"bench[Suárez, Ranger]",rel_x,2.11,2.11,PASS
"bench[Suárez, Ranger]",rel_z,5.847,5.847,PASS
"bench[Suárez, Ranger]",rsa_proxy,70.16,70.16,PASS
"bench[Suárez, Ranger]",rdi,0.274,0.274,PASS
"bench[Suárez, Ranger]",slo_vs_lhh,1.098,1.098,PASS
"bench[Suárez, Ranger]",slo_vs_rhh,5.318,5.318,PASS
"bench[Alvarez, Jose]",pitches,1113,1113,PASS
"bench[Alvarez, Jose]",rel_x,1.908,1.908,PASS
"bench[Alvarez, Jose]",rel_z,5.569,5.569,PASS
"bench[Alvarez, Jose]",rsa_proxy,71.091,71.091,PASS
"bench[Alvarez, Jose]",rdi,0.768,0.768,PASS
"bench[Alvarez, Jose]",slo_vs_lhh,1.3,1.3,PASS
"bench[Alvarez, Jose]",slo_vs_rhh,5.116,5.116,PASS
"bench[Soto, Gregory]",pitches,1615,1615,PASS
"bench[Soto, Gregory]",rel_x,1.938,1.938,PASS
"bench[Soto, Gregory]",rel_z,5.729,5.729,PASS
"bench[Soto, Gregory]",rsa_proxy,71.308,71.308,PASS
"bench[Soto, Gregory]",rdi,0.569,0.569,PASS
"bench[Soto, Gregory]",slo_vs_lhh,1.27,1.27,PASS
"bench[Soto, Gregory]",slo_vs_rhh,5.146,5.146,PASS
"bench[Allard, Kolby]",pitches,436,436,PASS
"bench[Allard, Kolby]",rel_x,1.784,1.784,PASS
"bench[Allard, Kolby]",rel_z,5.533,5.533,PASS
"bench[Allard, Kolby]",rsa_proxy,72.131,72.131,PASS
"bench[Allard, Kolby]",rdi,0.942,0.942,PASS
"bench[Allard, Kolby]",slo_vs_lhh,1.424,1.424,PASS
"bench[Allard, Kolby]",slo_vs_rhh,4.992,4.992,PASS
"bench[Sánchez, Cristopher]",pitches,10228,10228,PASS
"bench[Sánchez, Cristopher]",rel_x,1.899,1.899,PASS
"bench[Sánchez, Cristopher]",rel_z,6.063,6.063,PASS
"bench[Sánchez, Cristopher]",rsa_proxy,72.608,72.608,PASS
"bench[Sánchez, Cristopher]",rdi,0.665,0.665,PASS
"bench[Sánchez, Cristopher]",slo_vs_lhh,1.309,1.309,PASS
"bench[Sánchez, Cristopher]",slo_vs_rhh,5.107,5.107,PASS
"bench[Morgan, Adam]",pitches,5624,5624,PASS
"bench[Morgan, Adam]",rel_x,1.82,1.82,PASS
"bench[Morgan, Adam]",rel_z,6.048,6.048,PASS
"bench[Morgan, Adam]",rsa_proxy,73.254,73.254,PASS
"bench[Morgan, Adam]",rdi,0.751,0.751,PASS
"bench[Morgan, Adam]",slo_vs_lhh,1.388,1.388,PASS
"bench[Morgan, Adam]",slo_vs_rhh,5.028,5.028,PASS
"bench[Smyly, Drew]",pitches,1076,1076,PASS
"bench[Smyly, Drew]",rel_x,1.812,1.812,PASS
"bench[Smyly, Drew]",rel_z,6.647,6.647,PASS
"bench[Smyly, Drew]",rsa_proxy,74.753,74.753,PASS
"bench[Smyly, Drew]",rdi,1.543,1.543,PASS
"bench[Smyly, Drew]",slo_vs_lhh,1.396,1.396,PASS
"bench[Smyly, Drew]",slo_vs_rhh,5.02,5.02,PASS
"bench[Oberholtzer, Brett]",pitches,843,843,PASS
"bench[Oberholtzer, Brett]",rel_x,1.632,1.632,PASS
"bench[Oberholtzer, Brett]",rel_z,6.026,6.026,PASS
"bench[Oberholtzer, Brett]",rsa_proxy,74.85,74.85,PASS
"bench[Oberholtzer, Brett]",rdi,0.987,0.987,PASS
"bench[Oberholtzer, Brett]",slo_vs_lhh,1.576,1.576,PASS
"bench[Oberholtzer, Brett]",slo_vs_rhh,4.84,4.84,PASS
"bench[Mayza, Tim]",pitches,955,955,PASS
"bench[Mayza, Tim]",rel_x,1.626,1.626,PASS
"bench[Mayza, Tim]",rel_z,6.239,6.239,PASS
"bench[Mayza, Tim]",rsa_proxy,75.398,75.398,PASS
"bench[Mayza, Tim]",rdi,1.159,1.159,PASS
"bench[Mayza, Tim]",slo_vs_lhh,1.582,1.582,PASS
"bench[Mayza, Tim]",slo_vs_rhh,4.834,4.834,PASS
"bench[Romero, JoJo]",pitches,375,375,PASS
"bench[Romero, JoJo]",rel_x,1.51,1.51,PASS
"bench[Romero, JoJo]",rel_z,5.87,5.87,PASS
"bench[Romero, JoJo]",rsa_proxy,75.572,75.572,PASS
"bench[Romero, JoJo]",rdi,1.118,1.118,PASS
"bench[Romero, JoJo]",slo_vs_lhh,1.698,1.698,PASS
"bench[Romero, JoJo]",slo_vs_rhh,4.718,4.718,PASS
"bench[Moore, Matt]",pitches,1254,1254,PASS
"bench[Moore, Matt]",rel_x,1.584,1.584,PASS
"bench[Moore, Matt]",rel_z,6.316,6.316,PASS
"bench[Moore, Matt]",rsa_proxy,75.92,75.92,PASS
"bench[Moore, Matt]",rdi,1.287,1.287,PASS
"bench[Moore, Matt]",slo_vs_lhh,1.624,1.624,PASS
"bench[Moore, Matt]",slo_vs_rhh,4.792,4.792,PASS
"bench[Alvarado, José]",pitches,4973,4973,PASS
"bench[Alvarado, José]",rel_x,1.15,1.15,PASS
"bench[Alvarado, José]",rel_z,6.551,6.551,PASS
"bench[Alvarado, José]",rsa_proxy,80.046,80.046,PASS
"bench[Alvarado, José]",rdi,2.026,2.026,PASS
"bench[Alvarado, José]",slo_vs_lhh,2.058,2.058,PASS
"bench[Alvarado, José]",slo_vs_rhh,4.358,4.358,PASS
"bench[Falter, Bailey]",pitches,2508,2508,PASS
"bench[Falter, Bailey]",rel_x,0.905,0.905,PASS
"bench[Falter, Bailey]",rel_z,5.731,5.731,PASS
"bench[Falter, Bailey]",rsa_proxy,81.032,81.032,PASS
"bench[Falter, Bailey]",rdi,1.987,1.987,PASS
"bench[Falter, Bailey]",slo_vs_lhh,2.303,2.303,PASS
"bench[Falter, Bailey]",slo_vs_rhh,4.113,4.113,PASS
bench[Raley Pre-TJ (2020-2024)],rel_x,2.823,2.823,PASS
bench[Raley Pre-TJ (2020-2024)],rel_z,5.688,5.688,PASS
bench[Raley Pre-TJ (2020-2024)],rsa_proxy,63.6,63.6,PASS
bench[Raley Pre-TJ (2020-2024)],rdi (centroid excludes Raley),0.803,0.803,PASS
bench[Raley Post-TJ (2025-2026)],rel_x,3.128,3.128,PASS
bench[Raley Post-TJ (2025-2026)],rel_z,5.601,5.601,PASS
bench[Raley Post-TJ (2025-2026)],rsa_proxy,60.817,60.817,PASS
bench[Raley Post-TJ (2025-2026)],rdi (centroid excludes Raley),1.259,1.259,PASS
report_claims,REPORT CLAIM: Raley post-TJ is 5th-lowest RSA of 30,5,5,PASS
report_claims,REPORT CLAIM: benchmark table has 30 rows (28 pop + 2 Raley),30,30,PASS
RTD,RTD [Pre-TJ (2020-2024)],7.66,7.66,PASS
RTD,RTD [Post-TJ (2025-2026)],5.32,5.32,PASS
report_claims,REPORT CLAIM: post-TJ RTD is 5.3 in,5.3,5.3,PASS
report_claims,REPORT CLAIM: pre-TJ RTD is 7.7 in,7.7,7.7,PASS
report_claims,REPORT CLAIM: RTD improved after surgery,True,True,PASS
report_claims,REPORT CLAIM: sweeper released ~3.2 in wider than cutter,3.2,3.2,PASS
report_claims,REPORT CLAIM: sweeper released ~4.0 in lower than cutter,4.0,4.0,PASS
sightline[Pre-TJ (2020-2024)/L],pitches,1254,1254,PASS
sightline[Pre-TJ (2020-2024)/L],mean_rel_x,2.875,2.875,PASS
sightline[Pre-TJ (2020-2024)/L],slo_ft_rulebook,0.355,0.355,PASS
sightline[Pre-TJ (2020-2024)/R],pitches,1894,1894,PASS
sightline[Pre-TJ (2020-2024)/R],mean_rel_x,2.789,2.789,PASS
sightline[Pre-TJ (2020-2024)/R],slo_ft_rulebook,5.997,5.997,PASS
sightline[Post-TJ (2025-2026)/L],pitches,357,357,PASS
sightline[Post-TJ (2025-2026)/L],mean_rel_x,3.102,3.102,PASS
sightline[Post-TJ (2025-2026)/L],slo_ft_rulebook,0.187,0.187,PASS
sightline[Post-TJ (2025-2026)/R],pitches,661,661,PASS
sightline[Post-TJ (2025-2026)/R],mean_rel_x,3.142,3.142,PASS
sightline[Post-TJ (2025-2026)/R],slo_ft_rulebook,6.35,6.35,PASS
report_claims,REPORT CLAIM: population SLO vs LHH = 0.96 ft,0.96,0.96,PASS
report_claims,REPORT CLAIM: Raley post-TJ SLO vs LHH = 0.08 ft,0.08,0.08,PASS
report_claims,REPORT CLAIM: Raley post-TJ SLO vs RHH = 6.34 ft,6.34,6.34,PASS
report_claims,"REPORT CLAIM: RDI post-TJ (1.26) ~ population mean (1.20), i.e. NOT unusual",True,True,PASS
tracking[Pre-TJ (2020-2024)/L],swings,576,576,PASS
tracking[Pre-TJ (2020-2024)/L],whiffs,189,189,PASS
tracking[Pre-TJ (2020-2024)/L],whiffs_with_miss_distance,24,24,PASS
tracking[Pre-TJ (2020-2024)/L],miss_distance_in,3.58,3.58,PASS
tracking[Pre-TJ (2020-2024)/L],swing_length_ft,7.29,7.29,PASS
tracking[Pre-TJ (2020-2024)/R],swings,874,874,PASS
tracking[Pre-TJ (2020-2024)/R],whiffs,245,245,PASS
tracking[Pre-TJ (2020-2024)/R],whiffs_with_miss_distance,32,32,PASS
tracking[Pre-TJ (2020-2024)/R],miss_distance_in,3.01,3.01,PASS
tracking[Pre-TJ (2020-2024)/R],swing_length_ft,7.76,7.76,PASS
tracking[Post-TJ (2025-2026)/L],swings,170,170,PASS
tracking[Post-TJ (2025-2026)/L],whiffs,35,35,PASS
tracking[Post-TJ (2025-2026)/L],whiffs_with_miss_distance,32,32,PASS
tracking[Post-TJ (2025-2026)/L],miss_distance_in,3.76,3.76,PASS
tracking[Post-TJ (2025-2026)/L],swing_length_ft,7.24,7.24,PASS
tracking[Post-TJ (2025-2026)/R],swings,301,301,PASS
tracking[Post-TJ (2025-2026)/R],whiffs,68,68,PASS
tracking[Post-TJ (2025-2026)/R],whiffs_with_miss_distance,61,61,PASS
tracking[Post-TJ (2025-2026)/R],miss_distance_in,2.45,2.45,PASS
tracking[Post-TJ (2025-2026)/R],swing_length_ft,7.38,7.38,PASS
outings,outing count,75,75,PASS
outings,total pitches reconcile,1022,1022,PASS
outings,total BF reconcile,269,269,PASS
report_claims,REPORT CLAIM: 34 outings entering the 7th,34,34,PASS
report_claims,REPORT CLAIM: 17 entering the 6th,17,17,PASS
report_claims,REPORT CLAIM: 15 entering the 8th,15,15,PASS
report_claims,REPORT CLAIM: median 14 pitches,14,14.0,PASS
report_claims,REPORT CLAIM: 26 of 75 with inherited runners,26,26,PASS
report_claims,REPORT CLAIM: 70 of 75 outings faced >= 1 RHH,70,70,PASS
report_claims,REPORT CLAIM: 5 outings faced only LHH,5,5,PASS
report_claims,REPORT CLAIM: 12 multi-inning outings,12,12,PASS
report_claims,REPORT CLAIM: 12 outings on 0-1 days rest,12,12,PASS
report_claims,REPORT CLAIM: 18 outings entering 7th leading 1-3,18,18,PASS
report_claims,REPORT CLAIM: 30 outings of exactly 3 BF,30,30,PASS
report_claims,REPORT CLAIM: 22 outings of exactly 4 BF,22,22,PASS
outings,deployment outings reconcile,75,75,PASS
damage,damage_log rows,16,16,PASS
report_claims,REPORT CLAIM: 16 XBH allowed post-TJ,16,16,PASS
report_claims,REPORT CLAIM: 11 of 16 XBH on the sweeper,11,11,PASS
report_claims,REPORT CLAIM: 11 XBH allowed to RHH,11,11,PASS
report_claims,REPORT CLAIM: 7 of those on the sweeper,7,7,PASS
report_claims,REPORT CLAIM: 2 HR allowed post-TJ,2,2,PASS
report_claims,age 38 in 2026,38,38,PASS
report_claims,post-TJ arsenal is 4 pitches,4,4,PASS
report_claims,curveball gone post-TJ,0,0,PASS
report_claims,4-seam gone post-TJ,0,0,PASS
report_claims,pre-TJ arsenal was 6 pitches,6,6,PASS
report_claims,more pitches to RHH than LHH post-TJ (661 vs 361),661,661,PASS
report_claims,post-TJ pitches to LHH,361,361,PASS
report_claims,sweeper whiff fell 37.2% -> 23.2%,0.372,0.372,PASS
report_claims,sweeper whiff post-TJ,0.232,0.232,PASS
report_claims,sweeper IVB gained ~2.3 in,2.3,2.3,PASS
report_claims,July 2026 was the hardest post-TJ month (86.4 mph),86.4,86.4,PASS
report_claims,release moved 3.7 in further arm-side after surgery,3.7,3.7,PASS
report_claims,whiff decline 2026-05,0.267,0.267,PASS
report_claims,whiff decline 2026-06,0.211,0.211,PASS
report_claims,whiff decline 2026-07,0.17,0.17,PASS
report_claims,back-to-back walk rate 2.6%,0.026,0.026,PASS
report_claims,back-to-back velo 84.40,84.4,84.4,PASS
report_claims,1st batter whiff 27.7%,0.277,0.277,PASS
report_claims,3rd+ batter whiff 20.8%,0.208,0.208,PASS
report_claims,RSA calibration r = 0.831,0.831,0.831,PASS
report_claims,RSA calibration n = 10 pitchers,10,10,PASS
report_claims,build DQ scorecard is 38/38 PASS,38,38,PASS
report_claims,build DQ scorecard has no FAILs,0,0,PASS
